"date","country","keyword","hits"
2017-12-05,"FR","iPhone",45
2017-12-05,"FR","Tesla",2
2017-12-05,"FR","Rolex",1
2017-12-05,"JP","iPhone",63
2017-12-05,"JP","Tesla",1
2017-12-05,"JP","Rolex",2
2017-12-05,"MX","iPhone",67
2017-12-05,"MX","Tesla",6
2017-12-05,"MX","Rolex",3
2017-12-05,"US","iPhone",63
2017-12-05,"US","Tesla",5
2017-12-05,"US","Rolex",2
2017-12-06,"DE","iPhone",60
2017-12-06,"DE","Tesla",5
2017-12-06,"DE","Rolex",3
2017-12-06,"FR","iPhone",43
2017-12-06,"FR","Tesla",1
2017-12-06,"FR","Rolex",1
2017-12-06,"JP","iPhone",62
2017-12-06,"JP","Tesla",1
2017-12-06,"JP","Rolex",2
2017-12-06,"MX","iPhone",58
2017-12-06,"MX","Tesla",4
2017-12-06,"MX","Rolex",0
2017-12-06,"US","iPhone",58
2017-12-06,"US","Tesla",5
2017-12-06,"US","Rolex",2
2017-12-07,"DE","iPhone",61
2017-12-07,"DE","Tesla",4
2017-12-07,"DE","Rolex",3
2017-12-07,"FR","iPhone",44
2017-12-07,"FR","Tesla",2
2017-12-07,"FR","Rolex",1
2017-12-07,"JP","iPhone",61
2017-12-07,"JP","Tesla",1
2017-12-07,"JP","Rolex",2
2017-12-07,"MX","iPhone",67
2017-12-07,"MX","Tesla",5
2017-12-07,"MX","Rolex",0
2017-12-07,"US","iPhone",58
2017-12-07,"US","Tesla",5
2017-12-07,"US","Rolex",2
2017-12-08,"DE","iPhone",61
2017-12-08,"DE","Tesla",4
2017-12-08,"DE","Rolex",3
2017-12-08,"FR","iPhone",47
2017-12-08,"FR","Tesla",2
2017-12-08,"FR","Rolex",2
2017-12-08,"JP","iPhone",60
2017-12-08,"JP","Tesla",1
2017-12-08,"JP","Rolex",2
2017-12-08,"MX","iPhone",63
2017-12-08,"MX","Tesla",4
2017-12-08,"MX","Rolex",0
2017-12-08,"US","iPhone",58
2017-12-08,"US","Tesla",5
2017-12-08,"US","Rolex",2
2017-12-09,"DE","iPhone",68
2017-12-09,"DE","Tesla",4
2017-12-09,"DE","Rolex",4
2017-12-09,"FR","iPhone",54
2017-12-09,"FR","Tesla",2
2017-12-09,"FR","Rolex",2
2017-12-09,"JP","iPhone",71
2017-12-09,"JP","Tesla",1
2017-12-09,"JP","Rolex",2
2017-12-09,"MX","iPhone",75
2017-12-09,"MX","Tesla",4
2017-12-09,"MX","Rolex",0
